id,smarts,entry_id,mechanism_id
20,[O&D1&v2&H1&0*&!R:1].[P&D4&v5&H0&0*&!R:2]-[O&D1&v2&H1&0*&!R:3]>>[O&D0&v2&H2&0*&!R:3].[P&D4&v5&H0&0*&!R:2]-[O&D2&v2&H0&0*&!R:1],"[11, 159, 160, 163, 163]","[1, 1, 1, 2, 1]"
21,[C&D3&v4&H0&0*&!R&z3:1](=[O&D1&v2&H0&0*&!R:2])-[O&D2&v2&H0&0*&!R:3].[N&D1&v3&H2&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z3:1](=[O&D1&v2&H0&0*&!R:2])-[N&D2&v3&H1&0*&!R:4].[O&D1&v2&H1&0*&!R:3],"[12, 12]","[2, 1]"
22,[C&D3&v4&H0&0*&!R&z3:1](=[O&D1&v2&H0&0*&!R:2])-[N&D2&v3&H1&0*&!R:3].[O&D1&v2&H1&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z3:1](=[O&D1&v2&H0&0*&!R:2])-[O&D2&v2&H0&0*&!R:4].[N&D1&v3&H2&0*&!R:3],"[12, 12]","[2, 1]"
23,[C&D3&v4&H0&0*&R&z2:1]-[N&D3&v3&H0&0*&R:2].[O&D0&v2&H2&0*&!R:3]>>([C&D3&v4&H0&0*&!R&z2:1]-[O&D1&v2&H1&0*&!R:3].[N&D2&v3&H1&0*&R:2]),"[15, 258]","[1, 2]"
24,([C&D3&v4&H0&0*&!R&z2:1]-[O&D1&v2&H1&0*&!R:2].[N&D2&v3&H1&0*&R:3])>>[C&D3&v4&H0&0*&R&z2:1]-[N&D3&v3&H0&0*&R:3].[O&D0&v2&H2&0*&!R:2],"[15, 258]","[1, 2]"
25,[C&D3&v4&H0&0*&R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[N&D3&v3&H0&0*&R:3].[O&D0&v2&H2&0*&!R:4]>>([C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:4])-[O&D1&v2&H1&0*&!R:2].[N&D2&v3&H1&0*&R:3]),[16],[1]
26,([C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[O&D1&v2&H1&0*&!R:3].[N&D2&v3&H1&0*&R:4])>>[C&D3&v4&H0&0*&R&z2:1](=[O&D1&v2&H0&0*&!R:3])-[N&D3&v3&H0&0*&R:4].[O&D0&v2&H2&0*&!R:2],[16],[1]
27,[*:1](~[O&D1&v2&H1&0*&!R:2])~[O&D1&v2&H1&0*&!R:3].[C&D3&v4&H1&0*&R&z2:4](-[n&D3&v3&H0&0*&R:5])~[*:6](~[O&D1&v2&H1&0*&!R:7])~[*:8]~[O&D1&v2&H1&0*&!R:9]>>[*:1](~[O&D1&v2&H1&0*&!R:3])~[O&D2&v2&H0&0*&!R:2]-[C&D3&v4&H1&0*&R&z2:4]~[*:6](~[*:8]~[O&D1&v2&H1&0*&!R:9])~[O&D1&v2&H1&0*&!R:7].[n&D2&v3&H1&0*&R:5],[17],[3]
28,[*:1](~[O&D1&v2&H1&0*&!R:2])~[O&D2&v2&H0&0*&!R:3]-[C&D3&v4&H1&0*&R&z2:4]~[*:5](~[*:6]~[O&D1&v2&H1&0*&!R:7])~[O&D1&v2&H1&0*&!R:8].[n&D2&v3&H1&0*&R:9]>>[*:1](~[O&D1&v2&H1&0*&!R:3])~[O&D1&v2&H1&0*&!R:2].[C&D3&v4&H1&0*&R&z2:4](-[n&D3&v3&H0&0*&R:9])~[*:5](~[O&D1&v2&H1&0*&!R:8])~[*:6]~[O&D1&v2&H1&0*&!R:7],[17],[3]
29,[O&D1&v2&H0&0*&!R:1]=[P&D4&v5&H0&0*&!R:2]-[O&D1&v2&H1&0*&!R:3].[O&D1&v2&H0&0*&!R:4]=[P&D4&v5&H0&0*&!R:5]-[O&D1&v2&H1&0*&!R:6].[O&D1&v2&H0&0*&!R:7]=[c&D3&v4&H0&0*&R&z2:8]:[c&D3&v4&H0&0*&R&z1:9]:[c&D3&v4&H0&0*&R&z2:10]:[n&D3&v3&H0&0*&R:11]-[C&D3&v4&H1&0*&R&z2:12]>>[#15&-:2](-[O&D1&v2&H1&0*&!R:3])-[O&D1&v3&H2&+&!R:1].[O&D1&v2&H0&0*&!R:6]=[P&D4&v5&H0&0*&!R:5]-[O&D2&v2&H0&0*&!R:4]-[C&D3&v4&H1&0*&R&z2:12].[O&D1&v2&H0&0*&!R:7]=[c&D3&v4&H0&0*&R&z2:8]:[c&D3&v4&H0&0*&R&z1:9]:[c&D3&v4&H0&0*&R&z2:10]:[n&D2&v3&H1&0*&R:11],[17],[2]
30,[#15&-:1](-[O&D1&v2&H1&0*&!R:2])-[O&D1&v3&H2&+&!R:3].[O&D1&v2&H0&0*&!R:4]=[P&D4&v5&H0&0*&!R:5]-[O&D2&v2&H0&0*&!R:6]-[C&D3&v4&H1&0*&R&z2:7].[O&D1&v2&H0&0*&!R:8]=[c&D3&v4&H0&0*&R&z2:9]:[c&D3&v4&H0&0*&R&z1:10]:[c&D3&v4&H0&0*&R&z2:11]:[n&D2&v3&H1&0*&R:12]>>[O&D1&v2&H0&0*&!R:3]=[P&D4&v5&H0&0*&!R:1]-[O&D1&v2&H1&0*&!R:2].[O&D1&v2&H0&0*&!R:6]=[P&D4&v5&H0&0*&!R:5]-[O&D1&v2&H1&0*&!R:4].[O&D1&v2&H0&0*&!R:8]=[c&D3&v4&H0&0*&R&z2:9]:[c&D3&v4&H0&0*&R&z1:10]:[c&D3&v4&H0&0*&R&z2:11]:[n&D3&v3&H0&0*&R:12]-[C&D3&v4&H1&0*&R&z2:7],[17],[2]
31,[C&D3&v4&H1&0*&R&z2:1]-[O&D2&v2&H0&0*&!R:2].[O&D0&v2&H2&0*&!R:3]>>[C&D3&v4&H1&0*&R&z2:1]-[O&D1&v2&H1&0*&!R:3].[O&D1&v2&H1&0*&!R:2],"[19, 285, 397, 559, 560, 561, 658, 667, 831, 976]","[2, 1, 2, 1, 1, 1, 1, 1, 1, 1]"
32,[C&D3&v4&H1&0*&R&z2:1]-[O&D1&v2&H1&0*&!R:2].[O&D1&v2&H1&0*&!R:3]>>[C&D3&v4&H1&0*&R&z2:1]-[O&D2&v2&H0&0*&!R:3].[O&D0&v2&H2&0*&!R:2],"[19, 285, 397, 559, 560, 561, 658, 667, 831, 976]","[2, 1, 2, 1, 1, 1, 1, 1, 1, 1]"
33,[O&D0&v2&H2&0*&!R:1].[O&D2&v2&H0&0*&!R:2]-[C&D3&v4&H1&0*&R&z2:3]>>[C&D3&v4&H1&0*&R&z2:3]-[O&D1&v2&H1&0*&!R:1].[O&D1&v2&H1&0*&!R:2],"[19, 203]","[1, 1]"
34,[C&D3&v4&H1&0*&R&z2:1]-[O&D1&v2&H1&0*&!R:2].[O&D1&v2&H1&0*&!R:3]>>[O&D0&v2&H2&0*&!R:2].[O&D2&v2&H0&0*&!R:3]-[C&D3&v4&H1&0*&R&z2:1],"[19, 203]","[1, 1]"
35,[C&D2&v4&H1&0*&!R&z0:1]=[C&D2&v4&H1&0*&!R&z0:2]-[C&D3&v4&H0&0*&!R&z2:3]=[O&D1&v2&H0&0*&!R:4]>>[O&D1&v2&H0&0*&!R:4]=[C&D3&v4&H0&0*&!R&z2:3]-[C&D2&v4&H2&0*&!R&z0:2]-[C&D2&v4&H2&0*&!R&z0:1],[20],[1]
36,[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2]-[C&D2&v4&H2&0*&!R&z0:3]-[C&D2&v4&H2&0*&!R&z0:4]>>[C&D2&v4&H1&0*&!R&z0:4]=[C&D2&v4&H1&0*&!R&z0:3]-[C&D3&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:1],[20],[1]
37,[C&D3&v4&H0&0*&!R&z2:1](-[O&D1&v2&H1&0*&!R:2])-[C&D2&v4&H2&0*&!R&z0:3]-[C&D3&v4&H1&0*&!R&z1:4](-[O&D1&v2&H1&0*&!R:5])~[*:6](~[O&D1&v2&H0&0*&!R:7])~[O&D1&v2&H1&0*&!R:8].[c&D3&v4&H0&0*&R&z0:9]1:[c&D2&v4&H1&0*&R&z0:10]:[c&D2&v4&H1&0*&R&z0:11]:[c&D2&v4&H1&0*&R&z1:12]:[n&D3&v4&H0&+&R:13]:[c&D2&v4&H1&0*&R&z1:14]:1>>[C&D1&v4&H3&0*&!R&z0:3]-[C&D3&v4&H0&0*&!R&z1:4](=[O&D1&v2&H0&0*&!R:5])~[*:6](~[O&D1&v2&H0&0*&!R:7])~[O&D1&v2&H1&0*&!R:8].[C&D3&v4&H0&0*&R&z0:9]1=[C&D2&v4&H1&0*&R&z1:14]-[N&D3&v3&H0&0*&R:13]-[C&D2&v4&H1&0*&R&z1:12]=[C&D2&v4&H1&0*&R&z0:11]-[C&D2&v4&H2&0*&R&z0:10]-1.[O&D1&v2&H0&0*&!R:2]=[C&D2&v4&H0&0*&!R&z2:1],[21],[1]
38,[C&D1&v4&H3&0*&!R&z0:1]-[C&D3&v4&H0&0*&!R&z1:2](=[O&D1&v2&H0&0*&!R:3])~[*:4](~[O&D1&v2&H0&0*&!R:5])~[O&D1&v2&H1&0*&!R:6].[C&D3&v4&H0&0*&R&z0:7]1=[C&D2&v4&H1&0*&R&z1:8]-[N&D3&v3&H0&0*&R:9]-[C&D2&v4&H1&0*&R&z1:10]=[C&D2&v4&H1&0*&R&z0:11]-[C&D2&v4&H2&0*&R&z0:12]-1.[O&D1&v2&H0&0*&!R:13]=[C&D2&v4&H0&0*&!R&z2:14]>>[C&D3&v4&H0&0*&!R&z2:14](-[O&D1&v2&H1&0*&!R:13])-[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H1&0*&!R&z1:2](-[O&D1&v2&H1&0*&!R:3])~[*:4](~[O&D1&v2&H0&0*&!R:5])~[O&D1&v2&H1&0*&!R:6].[c&D3&v4&H0&0*&R&z0:7]1:[c&D2&v4&H1&0*&R&z0:12]:[c&D2&v4&H1&0*&R&z0:11]:[c&D2&v4&H1&0*&R&z1:10]:[n&D3&v4&H0&+&R:9]:[c&D2&v4&H1&0*&R&z1:8]:1,[21],[1]
39,[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[S&D2&v2&H0&0*&!R:3].[N&D1&v3&H2&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[N&D2&v3&H1&0*&!R:4].[S&D1&v2&H1&0*&!R:3],[22],[1]
40,[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[N&D2&v3&H1&0*&!R:3].[S&D1&v2&H1&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[S&D2&v2&H0&0*&!R:4].[N&D1&v3&H2&0*&!R:3],[22],[1]
