id,smarts,krids
861,[C;D1;H3:1]-[OH;D1;+0:2].[C:3]=[C:4]-[C;H0;D3;+0:5](=[O;D1;H0:6])-[OH;D1;+0:7]>>[C:3]=[C:4]-[C;H0;D3;+0:5](=[O;D1;H0:6])-[O;H0;D2;+0:2]-[C;D1;H3:1].[OH2;D0;+0:7],['b75b6affb990096aca4f7bcadee2e8d2ba4d26cc']
862,[C:1]-[S+;H0;D3:2](-[C:3])-[CH3;D1;+0:4].[C:5]=[C:6]-[C:7](=[O;D1;H0:8])-[OH;D1;+0:9]>>[C:1]-[S;H0;D2;+0:2]-[C:3].[C:5]=[C:6]-[C:7](=[O;D1;H0:8])-[O;H0;D2;+0:9]-[CH3;D1;+0:4],"['0a1e0da79a8abf2711b3b90453985474b054502c', '8ef0f063eaf0a0f72d488994fcb3e5da4d530d52', '3097c8acb5fbdd8c1eec5b5c392cf9f5a8606afc', '8bcf9c3cd902d5cc9a7487d0cb47b4783c997073']"
863,[C;D1;H3:1]-[C;H0;D3;+0:2](=[CH;D2;+0:3]-[C:4]=[O;D1;H0:5])-[C:6](=[O;D1;H0:7])-[O;D1;H1:8].[OH2;D0;+0:9]>>[C;D1;H3:1]-[C;H0;D4;+0:2](-[OH;D1;+0:9])(-[CH2;D2;+0:3]-[C:4]=[O;D1;H0:5])-[C:6](=[O;D1;H0:7])-[O;D1;H1:8],['af4530cc5bab51a4edc79d7f368d2a92b6fe4c5f']
864,[#15:1]-[OH;D1;+0:2].[C:3]=[C:4]-[CH2;D2;+0:5]-[C;H0;D3;+0:6](=[O;D1;H0:7])-[O;D1;H1:8].[O;D1;H0:9]=[P;H0;D4;+0:10](-[O;D1;H1:11])(-[O;D1;H1:12])-[OH;D1;+0:13]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:10](=[O;D1;H0:9])(-[O;D1;H1:11])-[O;D1;H1:12].[C:3]=[C:4]-[CH3;D1;+0:5].[O;D1;H0:7]=[C;H0;D3;+0:6](-[O;D1;H1:8])-[OH;D1;+0:13],['6d124e0847bf313710cc2aaa63269550c0499696']
865,[C;D1;H3:1]-[C;H0;D3;+0:2](-[C:3]-[C:4](=[O;D1;H0:5])-[O;D1;H1:6])=[CH;D2;+0:7]-[C:8]=[O;D1;H0:9].[OH2;D0;+0:10]>>[C;D1;H3:1]-[C;H0;D4;+0:2](-[OH;D1;+0:10])(-[C:3]-[C:4](=[O;D1;H0:5])-[O;D1;H1:6])-[CH2;D2;+0:7]-[C:8]=[O;D1;H0:9],['25706b8c052dbfbaf5b7d53e611fb4718692719c']
866,[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](-[C;D1;H3:5])=[C:6]-[C:7]=[C:8].[OH2;D0;+0:9]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[OH;D1;+0:9].[C:8]=[C:7]-[C:6]=[CH;D2;+0:4]-[C;D1;H3:5],['9b3768b64ad87106f57c70c4488d369e9a5e9953']
867,[C:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[C;H0;D3;+0:4](-[C;D1;H3:5])=[CH;D2;+0:6]-[CH;D2;+0:7]=[C;H0;D3;+0:8](-[O;D1;H1:9])-[C;H0;D3;+0:10](-[O;D1;H1:11])=[O;H0;D1;+0:12]>>[C:1]-[c;H0;D3;+0:2]1:[c;H0;D3;+0:10](-[O;D1;H1:11]):[c;H0;D3;+0:8](-[O;D1;H1:9]):[cH;D2;+0:7]:[cH;D2;+0:6]:[c;H0;D3;+0:4]:1-[C;D1;H3:5].[O;H0;D1;+0:12]=[O;H0;D1;+0:3],['651ce34e9ba9161244e3727def22723cd6a95e7b']
868,[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[CH;D2;+0:5]-[CH2;D2;+0:6]-[C;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10])=[CH;D2;+0:11]-1.[C:12]=[C:13]-[C:14]-[C;H0;D3;+0:15]1=[CH;D2;+0:16]-[C;H0;D3;+0:17](=[O;H0;D1;+0:18])-[c:19]:[c:20]-[C;H0;D3;+0:21]-1=[O;H0;D1;+0:22]>>[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[c;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10]):[cH;D2;+0:11]:1.[C:12]=[C:13]-[C:14]-[c;H0;D3;+0:15]1:[cH;D2;+0:16]:[c;H0;D3;+0:17](-[OH;D1;+0:18]):[c:19]:[c:20]:[c;H0;D3;+0:21]:1-[OH;D1;+0:22],['da810f6d27f69a04f6edb3127fde8eb5866c5020']
869,[#15:1]-[OH;D1;+0:2].[C:3]=[C:4]-[CH2;D2;+0:5]-[C;H0;D3;+0:6](=[C:7]-[C:8]=[O;D1;H0:9])-[C:10]=[O;D1;H0:11].[O;D1;H0:12]=[C;H0;D2;+0:13]=[O;H0;D1;+0:14]>>[#15:1]-[O;H0;D2;+0:2]-[CH2;D2;+0:5]-[C:4]=[C:3].[O;D1;H0:12]=[C;H0;D3;+0:13](-[OH;D1;+0:14])-[C;H0;D3;+0:6](=[C:7]-[C:8]=[O;D1;H0:9])-[C:10]=[O;D1;H0:11],['1e475e6b6abe67b08669776f1e55f21129b0e93b']
870,[#8:1]-[P;H0;D4;+0:2](=[O;D1;H0:3])(-[O;D1;H1:4])-[O;H0;D2;+0:5]-[#16:6]-[O;D1;H1:7].[C:8]=[C:9]-[CH2;D2;+0:10]-[OH;D1;+0:11]>>[#8:1]-[P;H0;D4;+0:2](=[O;D1;H0:3])(-[O;D1;H1:4])-[OH;D1;+0:11].[C:8]=[C:9]-[CH2;D2;+0:10]-[O;H0;D2;+0:5]-[#16:6]-[O;D1;H1:7],['b73118443b26dfe9ccdd87fdc782d173ee070ad3']
871,[#8:1]-[P;H0;D4;+0:2](=[O;D1;H0:3])(-[O;D1;H1:4])-[OH;D1;+0:5].[C:6]=[C:7]-[CH2;D2;+0:8]-[O;H0;D2;+0:9]-[#16:10]-[O;D1;H1:11]>>[#8:1]-[P;H0;D4;+0:2](=[O;D1;H0:3])(-[O;D1;H1:4])-[O;H0;D2;+0:9]-[#16:10]-[O;D1;H1:11].[C:6]=[C:7]-[CH2;D2;+0:8]-[OH;D1;+0:5],['3a79c61e1bacdccb86bfe09f0d3f059ffe96fa7c']
872,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C:12]=[C:13]-[CH2;D2;+0:14]-[OH;D1;+0:15].[OH2;D0;+0:16]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C:12]=[C:13]-[CH3;D1;+0:14].[O;H0;D1;+0:15]=[O;H0;D1;+0:16],"['2023557f297a18b90895e4234237e7431680c76b', '948bb10e2116549dca25283f1a0afedadd283285', 'b7bd99d9aaf3339c62768809c18ffe952d16d0f0']"
873,[C:1]-[CH;D2;+0:2]=[C;H0;D3;+0:3](-[C;D1;H3:4])-[C:5]=[O;D1;H0:6].[OH2;D0;+0:7]>>[C:1]-[CH;D3;+0:2](-[OH;D1;+0:7])-[CH;D3;+0:3](-[C;D1;H3:4])-[C:5]=[O;D1;H0:6],['a7f0a789debdd9d49cc7d5ed0c4b67ab636ed68b']
874,[C:1]-[CH;D2;+0:2]=[C;H0;D3;+0:3](-[C;D1;H3:4])-[C:5]=[O;D1;H0:6].[OH;D1;+0:7]-[OH;D1;+0:8]>>[C:1]-[CH2;D2;+0:2]-[CH;D3;+0:3](-[C;D1;H3:4])-[C:5]=[O;D1;H0:6].[O;H0;D1;+0:7]=[O;H0;D1;+0:8],"['6cdda9fd2f52bc061d232036caff57881efd9268', 'fdf5a5de03534c2bbb766ed2f76ab2fcb376b915']"
875,[#7;a:1]:[c:2]1:[c:3]:[#7;a:4]:[c:5]:[nH;D2;+0:6]:1.[#8:7]-[CH;D3;+0:8](-[OH;D1;+0:9])-[C:10]>>[#7;a:1]:[c:2]1:[c:3]:[#7;a:4]:[c:5]:[n;H0;D3;+0:6]:1-[CH;D3;+0:8](-[#8:7])-[C:10].[OH2;D0;+0:9],"['bd190f6f528aa0f066cdd2c5ad10798d14832f27', '91f0a722be09e6b359028909436a961651d6648c', '8edbd393b73f0a61bfb776b110d043dede4df844', 'aeab94901d54f108b1a3e206f909864116f9bfcd', 'c0c723b411deb2d05fa54c43da4f15710ddc2300', '11898e8ff93de020ae0dd56e6e35c914e0763886', 'a966c3993d04f9d7f9b2c5b221457addf4fac782', 'e23c007523c1a3ed2134025cc89b047a538b2311', 'f3bbd7bb7f22ddb31cf27a9ba79cfb028d6e5d30', 'c98ec525b4005838a226f95db4b4a010bb6818aa', '0e4d1fba7865f04d578ead13fbdf1a3778766091', '2bdc4f85e0b9a7d0b7e787b39609198ca551971c']"
876,[#15:1]-[O;H0;D2;+0:2]-[CH;D3;+0:3](-[#8:4])-[C:5].[C:6]=[C:7]-[C:8]-[OH;D1;+0:9]>>[#15:1]-[OH;D1;+0:2].[#8:4]-[CH;D3;+0:3](-[O;H0;D2;+0:9]-[C:8]-[C:7]=[C:6])-[C:5],"['d83a7bb430dcc4899c909096bcf217caa66dfd94', '78e05440cff1c42de63aa6bbee5e9cabb7564c6b', 'a4de1c4b359b43577ef9293a6b1437c6f485e46b', '9e1cf3c57337fd349c9f3f5b15587471c707cad6', 'f8d4b5be68d5f30faa1f824ac070d412d219b874']"
877,[#15:1]-[OH;D1;+0:2].[#8:3]-[CH;D3;+0:4](-[O;H0;D2;+0:5]-[C:6]-[C:7]=[C:8])-[C:9]>>[#15:1]-[O;H0;D2;+0:2]-[CH;D3;+0:4](-[#8:3])-[C:9].[C:8]=[C:7]-[C:6]-[OH;D1;+0:5],"['224b4958a633ffc9a362cbd0ef8921ac37cdc00f', 'c700422c2d723dd3c7549b29b5c188f83f65d36c', '732b551cc853642968faea5d5b180e7425dd261b', 'a7ecbf5f702d97662b952c89dad1d17e4727db8f', '14d80cb392fcdcfcf85d27a0202c0b6f0381abe3']"
878,[#8:1]-[P;H0;D4;+0:2](=[O;D1;H0:3])(-[O;D1;H1:4])-[OH;D1;+0:5].[C:6]-[CH;D3;+0:7]1-[C;H0;D3;+0:8](-[C;D1;H3:9])=[CH;D2;+0:10]-[C:11]-[CH;D3;+0:12]2-[C;H0;D4;+0:13]-1(-[C;D1;H3:14])-[C:15]-[C:16]-[CH2;D2;+0:17]-[C;H0;D4;+0:18]-2(-[C;D1;H3:19])-[C;D1;H3:20].[C:21]=[C:22]-[C:23]-[OH;D1;+0:24]>>[#8:1]-[P;H0;D4;+0:2](=[O;D1;H0:3])(-[O;D1;H1:4])-[O;H0;D2;+0:24]-[C:23]-[C:22]=[C:21].[C:6]-[CH;D2;+0:7]=[C;H0;D3;+0:8](-[C;D1;H3:9])-[CH2;D2;+0:10]-[C:11]-[CH;D2;+0:12]=[C;H0;D3;+0:13](-[C;D1;H3:14])-[C:15]-[C:16]-[CH;D2;+0:17]=[C;H0;D3;+0:18](-[C;D1;H3:19])-[C;D1;H3:20].[OH2;D0;+0:5],['73535fad275a650d2e3ad69d1d2bf3782eccbeed']
879,[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](-[#8:4])(=[O;D1;H0:5])-[O;D1;H1:6].[C:7]=[C:8]-[CH2;D2;+0:9]-[OH;D1;+0:10]>>[#15:1]-[O;H0;D2;+0:2]-[CH2;D2;+0:9]-[C:8]=[C:7].[#8:4]-[P;H0;D4;+0:3](=[O;D1;H0:5])(-[O;D1;H1:6])-[OH;D1;+0:10],"['1a7be1ad684168862062778d8131abfca0e24bc7', '1504c6782f1c19ef2fea7c6deaba7945cce76e93', 'aa718a8e47bafef0e8f75bdcc0dc96d47347c3d8', '1eba5b03fe59cc3f7e95763b46b77570587776ee', 'd5f5eab982c129a8f5a8665bdf464aae2dbc4d8e', 'a84735ce7f16d645ce5d218c3cc1172ffc3a5af9', 'a1b2b44eaee34893efa01ada7ccde4e5bcc477fc', '6fba1a0f35ceb12b8e988ff531cbb0c94c44dcd1']"
880,[#15:1]-[O;H0;D2;+0:2]-[CH2;D2;+0:3]-[C:4]=[C:5].[#8:6]-[P;H0;D4;+0:7](=[O;D1;H0:8])(-[O;D1;H1:9])-[OH;D1;+0:10]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:7](-[#8:6])(=[O;D1;H0:8])-[O;D1;H1:9].[C:5]=[C:4]-[CH2;D2;+0:3]-[OH;D1;+0:10],"['cc9a4adb03d94d7342873bd7b39d6c74e875a5a4', 'e70408f0064a62b36b3caf2994155daede73e3f6', 'eba993a2292309be7f620d4e577622fd86f54e58', 'e9af7658cb7b5b826a7c952bde18ba1e6e336b85', 'ba6b5d7648a6418462f3a5ac33425747ec70f0e9', '7d7985c250ebbb222383c7eedb92d0ab90170110', 'ee33a102e10181c83c1abb0387249ccbc96b8903', '8a64d4c1d34893388b999bc192526f13c16b3394']"
881,[#15:1]-[O;H0;D2;+0:2]-[CH2;D2;+0:3]-[C:4]=[C:5].[#7;a:6]:[c:7]:[n;H0;D2;+0:8]:[c:9]:[c:10]:[#7;a:11]>>[#15:1]-[OH;D1;+0:2].[#7;a:6]:[c:7]:[n+;H0;D3:8](-[CH2;D2;+0:3]-[C:4]=[C:5]):[c:9]:[c:10]:[#7;a:11],['e24a8033f46e2ac8abf8f867b366b4dcb2f2158a']
882,[#15:1]-[O;H0;D2;+0:2]-[CH2;D2;+0:3]-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6])-[CH3;D1;+0:7]>>[#15:1]-[OH;D1;+0:2].[C:6]-[C;H0;D3;+0:5](=[CH2;D1;+0:7])-[CH;D2;+0:4]=[CH2;D1;+0:3],"['ce60068cf7c91448ec7e66e023ca2a9382237a23', '50a5d72d68fb2ab59f94a71d2002135bdeffaf2f', '21a4ade0179c8ae4e7c070ecad6025e0c8fc3b3d', 'cf2ee6360d6eea948ef5f2d46d2f02fe59ddb528', 'ec6ed5d2572ec47d79e02189bb641bff41e1b8fc']"
883,[#15:1]-[O;H0;D2;+0:2]-[CH2;D2;+0:3]-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6])-[C;D1;H3:7].[C:8]-[OH;D1;+0:9]>>[#15:1]-[OH;D1;+0:2].[C:8]-[O;H0;D2;+0:9]-[C;H0;D4;+0:5](-[C;D1;H3:7])(-[CH;D2;+0:4]=[CH2;D1;+0:3])-[C:6],['1962cfdf9613d7d77b088709df391731965704c9']
884,[#15:1]-[O;H0;D2;+0:2]-[CH2;D2;+0:3]-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6])-[C;D1;H3:7].[C:8]-[OH;D1;+0:9]>>[#15:1]-[OH;D1;+0:2].[C:6]-[C;H0;D4;+0:5](-[C;D1;H3:7])(-[CH;D2;+0:4]=[CH2;D1;+0:3])-[O;H0;D2;+0:9]-[C:8],['ae535491392196dcb46bf3cf7a50942dc30f687d']
885,[C:1]-[CH;D3;+0:2]1-[C;H0;D4;+0:3]2(-[C;D1;H3:4])-[C:5]-[C:6]-[CH2;D2;+0:7]-[C;H0;D4;+0:8](-[C;D1;H3:9])(-[C;D1;H3:10])-[CH;D3;+0:11]-2-[C:12]-[C:13]-[C;H0;D4;+0:14]-1(-[C;D1;H3:15])-[OH;D1;+0:16]>>[C:1]-[CH;D2;+0:2]=[C;H0;D3;+0:14](-[C;D1;H3:15])-[C:13]-[C:12]-[CH;D2;+0:11]=[C;H0;D3;+0:3](-[C;D1;H3:4])-[C:5]-[C:6]-[CH;D2;+0:7]=[C;H0;D3;+0:8](-[C;D1;H3:9])-[C;D1;H3:10].[OH2;D0;+0:16],['41f031c6bc355c1d5d36273aa2ca4e1a571b64fd']
886,[#15:1]-[O;H0;D2;+0:2]-[CH2;D2;+0:3]-[C:4]=[C:5].[O;D1;H0:6]=[C;H0;D3;+0:7](-[OH;D1;+0:8])-[C;H0;D3;+0:9](=[C:10]-[C:11]=[O;D1;H0:12])-[C:13]=[O;D1;H0:14]>>[#15:1]-[OH;D1;+0:2].[C:5]=[C:4]-[CH2;D2;+0:3]-[C;H0;D3;+0:9](=[C:10]-[C:11]=[O;D1;H0:12])-[C:13]=[O;D1;H0:14].[O;D1;H0:6]=[C;H0;D2;+0:7]=[O;H0;D1;+0:8],['42114b6692c542bfc69a87b0f32e4d7a76fe8b7a']
887,[#15:1]-[OH;D1;+0:2].[#7;a:3]:[c:4]:[n+;H0;D3:5](-[CH2;D2;+0:6]-[C:7]=[C:8]):[c:9]:[c:10]:[#7;a:11]>>[#15:1]-[O;H0;D2;+0:2]-[CH2;D2;+0:6]-[C:7]=[C:8].[#7;a:3]:[c:4]:[n;H0;D2;+0:5]:[c:9]:[c:10]:[#7;a:11],['5dafbda94a4d1b42c6e7383df098f61003800b60']
888,[CH3;D1;+0:1]-[c;H0;D3;+0:2](:[c:3]):[c:4].[C:5]-[S;H0;D2;+0:6]-[C:7]>>[C:5]-[S+;H0;D3:6](-[C:7])-[CH3;D1;+0:1].[c:3]:[cH;D2;+0:2]:[c:4],"['e68b78c5c35234fd4dcc17cce6e932b7a790eca0', 'b7ae025a72abc44333b22b53777e5117153fde2d', '9b6fd45e2c99639949018016d32bc16d462e26e3', '27cfebafaba555c1550182774e185e4ecb0eca3a', 'a26349cea7a899429c6b030bf436063b29fbdad4', '8e786d35a5bfdda2591fea5dad93117e50fac4bf', 'fc2cf962a7617f200cae6aa33d93ea039aa740f3', '7eb4c2f5fd936df97aea7c9847127b449e6c6ab1', '89fdc019166050d0e8cc6fd90d599055a1ec5fbd', '919f8ce2c49295e4b7ab547694d8ec24bf32cd25']"
889,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C:12]-[CH;D3;+0:13]1-[O;H0;D2;+0:14]-[C;H0;D4;+0:15]-1(-[C;D1;H3:16])-[C;D1;H3:17].[OH2;D0;+0:18]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C:12]-[CH;D2;+0:13]=[C;H0;D3;+0:15](-[C;D1;H3:16])-[C;D1;H3:17].[O;H0;D1;+0:18]=[O;H0;D1;+0:14],['bc3cd11fbe98c03d8cf6b7548f6a6d154b6cbf62']
890,[C:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[CH;D2;+0:4]-[C:5].[OH;D1;+0:6]-[c:7]>>[C:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[CH2;D2;+0:4]-[C:5])-[O;H0;D2;+0:6]-[c:7],['aef1d27f10f0255f8664df64d3ae7e2511a97e70']
891,[C:1]-[S+;H0;D3:2](-[C:3])-[CH3;D1;+0:4].[c:5]:[cH;D2;+0:6]:[c:7]>>[CH3;D1;+0:4]-[c;H0;D3;+0:6](:[c:5]):[c:7].[C:1]-[S;H0;D2;+0:2]-[C:3],"['bf36ea782f6c8820dc68173e1301b8608099e043', '045ca4f74912046b5fef926a44c4d61f5974011f', '218a67b8f58adc6654409249bde153b204087a03', '0a19f8801d3f7e86f30d13288da2766038a9d848', '56c8fb5a8dc6af769c5da9d0f9163a48a775818c', '62cfb426e4ebb858631872284d44aebd08239aab', '2710c83cb425e53c328fb484c9995ef837873823', '3acb993e3be19c53d4c8c7c8f2c6502d75fc8f6a', '0942573de251c6d8e9c7a229046c0d8a2440f32e', '5af2c6db5367785307a5f6a99dd605d37ffb7821']"
892,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C:12]=[C:13]-[C:14]-[c;H0;D3;+0:15]1:[cH;D2;+0:16]:[c;H0;D3;+0:17](-[OH;D1;+0:18]):[c:19]:[c:20]:[c;H0;D3;+0:21]:1-[OH;D1;+0:22]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C:12]=[C:13]-[C:14]-[C;H0;D3;+0:15]1=[CH;D2;+0:16]-[C;H0;D3;+0:17](=[O;H0;D1;+0:18])-[c:19]:[c:20]-[C;H0;D3;+0:21]-1=[O;H0;D1;+0:22],['426c0af6e9841a6073ac2edea1c3b7e0cd4d84ef']
893,[C:1]=[C:2]-[NH2;D1;+0:3].[NH3;D0;+0:4].[O;D1;H0:5]=[C;H0;D2;+0:6]=[O;H0;D1;+0:7]>>[C:1]=[C:2]-[NH;D2;+0:3]-[C;H0;D3;+0:6](-[NH2;D1;+0:4])=[O;D1;H0:5].[OH2;D0;+0:7],"['ee55d09492373fedcf4bae395fd64778f6ae1f49', 'd3968be2c73ef56ee1fbfb9845200ccd01f1a006']"
894,[C:1]=[C:2]-[NH;D2;+0:3]-[C;H0;D3;+0:4](-[NH2;D1;+0:5])=[O;D1;H0:6].[OH2;D0;+0:7]>>[C:1]=[C:2]-[NH2;D1;+0:3].[NH3;D0;+0:5].[O;D1;H0:6]=[C;H0;D2;+0:4]=[O;H0;D1;+0:7],"['a70730e07c7e5c6768512d1b596874a9aa6e95a5', 'e1b7f36f9b9b3f35e37ee1b149344e3a0d81e5e6']"
895,[#8;a:1]:[c:2]-[OH;D1;+0:3].[C:4]-[S+;H0;D3:5](-[C:6])-[CH3;D1;+0:7]>>[#8;a:1]:[c:2]-[O;H0;D2;+0:3]-[CH3;D1;+0:7].[C:4]-[S;H0;D2;+0:5]-[C:6],['18b64e49134f8f9275354e8bca3e7edc79e3ca81']
896,[C;D1;H3:1]-[C;H0;D3;+0:2](=[NH;D1;+0:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[OH2;D0;+0:7]>>[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:7])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[NH3;D0;+0:3],['2da7e13fdbc46216406e6dbfc7d1d64e193fdef3']
897,[#8:1]-[CH2;D2;+0:2]-[CH;D3;+0:3](-[O;D1;H1:4])-[C;H0;D3;+0:5](=[O;D1;H0:6])-[C;H0;D3;+0:7](-[C;D1;H3:8])=[O;D1;H0:9]>>[#8:1]-[CH2;D2;+0:2]-[C;H0;D3;+0:5](=[O;D1;H0:6])-[CH;D3;+0:3](-[O;D1;H1:4])-[C;H0;D3;+0:7](-[C;D1;H3:8])=[O;D1;H0:9],['2c251019904841589ac630c68b9db6b16e11b80f']
898,[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[O;D1;H0:5])-[OH;D1;+0:6].[C;D1;H3:7]-[C;H0;D3;+0:8](=[O;H0;D1;+0:9])-[C:10](=[O;D1;H0:11])-[O;D1;H1:12]>>[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[C;H0;D4;+0:8](-[C;D1;H3:7])(-[OH;D1;+0:9])-[C:10](=[O;D1;H0:11])-[O;D1;H1:12].[O;D1;H0:5]=[C;H0;D2;+0:4]=[O;H0;D1;+0:6],['b937c515e2a304d9439c12d4ed0412bf9248781a']
899,[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[CH3;D1;+0:7]-[C:8](=[O;D1;H0:9])-[C:10](=[O;D1;H0:11])-[O;D1;H1:12]>>[C;D1;H3:1]-[C;H0;D4;+0:2](-[OH;D1;+0:3])(-[CH2;D2;+0:7]-[C:8](=[O;D1;H0:9])-[C:10](=[O;D1;H0:11])-[O;D1;H1:12])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6],['3bd1b996d69c0acae29071044233facaa9e4c46c']
900,[CH3;D1;+0:1]-[C:2](=[O;D1;H0:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[CH;D2;+0:8]=[O;H0;D1;+0:9]>>[C:7]-[CH;D3;+0:8](-[OH;D1;+0:9])-[CH2;D2;+0:1]-[C:2](=[O;D1;H0:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6],"['44a0fa1bc54eb0f94eab238dce0e94db8663b1c7', '959f9a74e9c9dcd432c699113509c0e47941d7a0', '991452b548bcb5a0ffaee1cbba33bbbe8da59626', '6dc3106a6eca94b3af207845a7d0097225588dc4', '0bd78d4cf6d58fa29d27d049fcfad1e2467ce7eb', 'fe594f4046c56d1c388e7a4f4f023c36e428812a']"
901,[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[OH;D1;+0:4].[CH3;D1;+0:5]-[C:6](=[O;D1;H0:7])-[C:8](=[O;D1;H0:9])-[O;D1;H1:10]>>[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[CH2;D2;+0:5]-[C:6](=[O;D1;H0:7])-[C:8](=[O;D1;H0:9])-[O;D1;H1:10].[OH2;D0;+0:4],['032ab661b3f02ca642d8d8b5415884239062dc6f']
902,[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[S;H0;D2;+0:8]-[C;H0;D3;+0:9](-[CH3;D1;+0:10])=[O;D1;H0:11].[OH2;D0;+0:12]>>[C;D1;H3:1]-[C;H0;D4;+0:2](-[OH;D1;+0:3])(-[CH2;D2;+0:10]-[C;H0;D3;+0:9](=[O;D1;H0:11])-[OH;D1;+0:12])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[SH;D1;+0:8],['64c651599fa7dd62df37996e2bed35c842204398']
903,[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[CH3;D1;+0:7]-[C:8]=[O;D1;H0:9]>>[C;D1;H3:1]-[C;H0;D4;+0:2](-[OH;D1;+0:3])(-[CH2;D2;+0:7]-[C:8]=[O;D1;H0:9])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6],['5582845919356f447668dd0ea4647fbddf01b7ac']
904,[C;D1;H3:1]-[CH;D3;+0:2](-[C:3]=[O;D1;H0:4])-[C;H0;D3;+0:5](=[O;D1;H0:6])-[O;D1;H1:7].[CH3;D1;+0:8]-[C:9](=[O;D1;H0:10])-[C:11](=[O;D1;H0:12])-[O;D1;H1:13]>>[C;D1;H3:1]-[CH2;D2;+0:2]-[C:3]=[O;D1;H0:4].[O;D1;H0:10]=[C:9](-[CH2;D2;+0:8]-[C;H0;D3;+0:5](=[O;D1;H0:6])-[O;D1;H1:7])-[C:11](=[O;D1;H0:12])-[O;D1;H1:13],['20af237ed878e36336fac92b7120a7111968457d']
