id,smarts,levin_id
56,[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[c;H0;D3;+0:4]1:[cH;D2;+0:5]:[c;H0;D3;+0:6](-[O;D1;H1:7]):[c;H0;D3;+0:8](-[O;D1;H1:9]):[cH;D2;+0:10]:[c;H0;D3;+0:11]:1-[C:12](=[O;D1;H0:13])-[O;D1;H1:14]>>[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[C;H0;D3;+0:4]1=[CH;D2;+0:5]-[CH;D3;+0:6](-[O;D1;H1:7])-[CH;D3;+0:8](-[O;D1;H1:9])-[CH;D2;+0:10]=[C;H0;D3;+0:11]-1-[C:12](=[O;D1;H0:13])-[O;D1;H1:14],8e093a7c1da6dd04b29e3fb233b7eb64
57,[#8:3]-[CH;D3;+0:2](-[C:4])-[OH;D1;+0:1]>>O-P(-O)(=O)-[O;H0;D2;+0:1]-[CH;D3;+0:2](-[#8:3])-[C:4],9d7d3f3df1d6560bb280fe529bef654a
58,[C:2]-[O;H0;D2;+0:1]-[P;H0;D4;+0:7](=[O;D1;H0:8])(-[O;D1;H1:9])-[O;D1;H1:10].[O;D1;H0:3]=[C:4]-[C:5]-[OH;D1;+0:6]>>O-P(-O)(=O)-[O;H0;D2;+0:1]-[C:2].[O;D1;H0:3]=[C:4]-[C:5]-[O;H0;D2;+0:6]-[P;H0;D4;+0:7](=[O;D1;H0:8])(-[O;D1;H1:9])-[O;D1;H1:10],7c257fb55b5a78b0cd427f8f3a2c6815
59,[C:5]-[CH;D3;+0:6](-[OH;D1;+0:7])-[O;H0;D2;+0:4]-[C:3]-[C:2]-[OH;D1;+0:1]>>O-P(-O)(=O)-[O;H0;D2;+0:1]-[C:2]-[C:3]-[OH;D1;+0:4].[C:5]-[CH;D2;+0:6]=[O;H0;D1;+0:7],a85a1d8b0f2fc10e7351527fc245f267
60,[O;D1;H1:4]-[CH;D3;+0:3]1-[C:5]-[C:6]-[CH;D3;+0:7](-[CH2;D2;+0:9]-[OH;D1;+0:10])-[O;H0;D2;+0:8]-[CH;D3;+0:2]-1-[OH;D1;+0:1]>>O-P(-O)(=O)-[O;H0;D2;+0:1]-[CH2;D2;+0:2]-[CH;D3;+0:3](-[O;D1;H1:4])-[C:5]-[C:6]-[CH;D3;+0:7](-[OH;D1;+0:8])-[CH;D2;+0:9]=[O;H0;D1;+0:10],a7c344ef31284551ce7501d073e343b6
61,[#8:1]-[P;H0;D4;+0:2](=[O;H0;D1;+0:4])(-[O;H1;D1;+0])-[OH;D1;+0:3].[C:6]-[OH;D1;+0:5]>>[#8:1]-[P;H0;D4;+0:2](=[O;H0;D1;+0:3])(-[OH;D1;+0:4])-[O;H0;D2;+0:5]-[C:6],976e51b0baa74a9583d45f21fb2a2b85
62,[C:2]-[OH;D1;+0:1]>>O-P(-O)(=O)-O-P(-O)(=O)-[O;H0;D2;+0:1]-[C:2],4533f70e906e83f5f904b2229b486cf1
63,[#8:3]-[CH;D3;+0:2](-[C:4])-[OH;D1;+0:1]>>N-C(=[O;H0;D1;+0:1])-c1:c:c:c:[n+](-[CH;D3;+0:2](-[#8:3])-[C:4]):c:1,69b31c3f1b37f0acfe9fea0e1a6b1699
64,[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[CH;D3;+0:4](-[OH;D1;+0:5])-[CH;D3;+0:6](-[O;H1;D1;+0])-[C:7](=[O;D1;H0:8])-[O;D1;H1:9]>>[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[CH;D3;+0:4]1-[O;H0;D2;+0:5]-[CH;D3;+0:6]-1-[C:7](=[O;D1;H0:8])-[O;D1;H1:9],e4ef1f0ecd01028a77e73db6afcce5a8
65,[CH3;D1;+0:2]-[CH;D3;+0:3](-[OH;D1;+0:1])-[C:4]-[C:5](=[O;D1;H0:6])-[O;D1;H1:7]>>O-P(=O)(-[OH;D1;+0:1])-O-[CH2;D2;+0:2]-[CH2;D2;+0:3]-[C:4]-[C:5](=[O;D1;H0:6])-[O;D1;H1:7],84cf5fa7953dd9c63afa10606c947cb2
