id,smarts,entry_id,mechanism_id
20,([*:1](~[*:2]~[O&D1&v2&H0&0*&!R:3])~[*:4](~[O&D1&v2&H0&0*&!R:5])~[*:6]~[*:7]~[*:8]~[*:9]~[*:10]~[*:11]~[*:12]~[*:13]~[*:14]~[*:15]~[*:16]~[C&D2&v4&H2&0*&!R&z1:17]-[O&D2&v2&H0&0*&!R:18].[O&D1&v2&H1&0*&!R:19])>>([*:1](~[*:2]~[O&D1&v2&H0&0*&!R:3])~[*:4](~[O&D1&v2&H0&0*&!R:5])~[*:6]~[*:7]~[*:8]~[*:9]~[*:10]~[*:11]~[*:12]~[*:13]~[*:14]~[*:15]~[*:16]~[C&D2&v4&H2&0*&!R&z1:17]-[O&D2&v2&H0&0*&!R:19].[O&D1&v2&H1&0*&!R:18]),"[33, 33]","[1, 1]"
21,[C&D2&v4&H2&0*&!R&z1:1]-[O&D1&v2&H1&0*&!R:2].[P&D4&v5&H0&0*&!R:3]-[O&D2&v2&H0&0*&!R:4]-[P&D4&v5&H0&0*&!R:5]-[O&D1&v2&H1&0*&!R:6]>>[C&D2&v4&H2&0*&!R&z1:1]-[O&D2&v2&H0&0*&!R:4]-[P&D4&v5&H0&0*&!R:5]-[O&D1&v2&H1&0*&!R:6].[P&D4&v5&H0&0*&!R:3]-[O&D1&v2&H1&0*&!R:2],[35],[1]
22,[O&D0&v2&H2&0*&!R:1].[c&D3&v4&H0&0*&R&z2:2]1:[c&D3&v4&H0&0*&R&z1:3]:[n&D2&v3&H0&0*&R:4]:[c&D2&v4&H1&0*&R&z2:5]:[n&D3&v3&H0&0*&R:6]:1-[C&D3&v4&H1&0*&R&z2:7](-[O&D2&v2&H0&0*&R:8])-[C&D3&v4&H1&0*&R&z1:9]-[O&D1&v2&H1&0*&!R:10]>>[O&D1&v2&H0&0*&!R:1]=[C&D2&v4&H1&0*&!R&z2:5]-[O&D1&v2&H1&0*&!R:10].([O&D1&v2&H1&0*&!R:8].[c&D3&v4&H0&0*&R&z2:2]1:[c&D3&v4&H0&0*&R&z1:3]-[N&D2&v3&H0&0*&R:4]=[C&D3&v4&H0&0*&R&z1:9]-[C&D2&v4&H2&0*&R&z1:7]-[N&D2&v3&H1&0*&R:6]-1),[38],[1]
23,[C&D3&v4&H0&0*&!R&z2:1]-[O&D2&v2&H0&0*&!R:2]-[P&D4&v5&H0&0*&!R:3].[P&D4&v5&H0&0*&!R:4]-[O&D1&v2&H1&0*&!R:5]>>[C&D3&v4&H0&0*&!R&z2:1]-[O&D1&v2&H1&0*&!R:5].[P&D4&v5&H0&0*&!R:4]-[O&D2&v2&H0&0*&!R:2]-[P&D4&v5&H0&0*&!R:3],[40],[1]
24,[O&D0&v2&H2&0*&!R:1].[O&D2&v2&H0&0*&!R:2]-[P&D4&v5&H0&0*&!R:3](=[O&D1&v2&H0&0*&!R:4])-[O&D1&v2&H1&0*&!R:5]>>[O&D1&v2&H0&0*&!R:4]=[P&D4&v5&H0&0*&!R:3](-[O&D1&v2&H1&0*&!R:1])-[O&D1&v2&H1&0*&!R:5].[O&D1&v2&H1&0*&!R:2],[44],[1]
25,([*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[O&D1&v2&H1&0*&!R:4].[O&D2&v2&H0&0*&!R:5]-[C&D3&v4&H1&0*&R&z1:6])>>[*:1](~[O&D2&v2&H0&0*&R:2]-[C&D3&v4&H1&0*&R&z1:6])~[*:3]~[O&D1&v2&H1&0*&!R:4].[O&D1&v2&H1&0*&!R:5],[45],[1]
26,[O&D0&v2&H2&0*&!R:1].[c&D3&v4&H0&0*&R&z1:2]-[O&D2&v2&H0&0*&!R:3]-[P&D4&v5&H0&0*&!R:4]>>[P&D4&v5&H0&0*&!R:4]-[O&D1&v2&H1&0*&!R:3].[c&D3&v4&H0&0*&R&z1:2]-[O&D1&v2&H1&0*&!R:1],[47],[1]
27,[C&D3&v4&H1&0*&R&z2:1]-[O&D2&v2&H0&0*&!R:2].[n&D2&v3&H1&0*&R:3]>>[O&D1&v2&H1&0*&!R:2].[n&D3&v3&H0&0*&R:3]-[C&D3&v4&H1&0*&R&z2:1],[48],[1]
28,[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:2]-[C&D3&v4&H0&0*&!R&z2:3]-[O&D1&v2&H1&0*&!R:4]>>[N&D1&v3&H2&0*&!R:1]-[C&D2&v4&H2&0*&!R&z1:2].[O&D1&v2&H0&0*&!R:4]=[C&D2&v4&H0&0*&!R&z2:3],"[49, 409]","[1, 2]"
29,[C&D3&v4&H0&0*&!R&z2:1](-[O&D1&v2&H1&0*&!R:2])-[c&D3&v4&H0&0*&R&z1:3]>>[O&D1&v2&H0&0*&!R:2]=[C&D2&v4&H0&0*&!R&z2:1].[c&D2&v4&H1&0*&R&z1:3],[50],[1]
