id,smarts,ni_ids
48,[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#8:5]:[#6:6]:1.[#8:7]>>[#8:7]-[#6:4]1-[#6:3]-[#6:2]-[#6:1]:[#6:6]-[#8:5]-1,['rule0375']
49,[#6:1]-[#6:2]=[#6:3]-[#6:4]=[#8:5].[#6:6]1=[#6:7]-[#7:8]-[#6:9]=[#6:10]-[#6:11]-1>>[#6:10]1:[#6:11]:[#6:6]:[#6:7]:[#7+:8]:[#6:9]:1.[#6:1]=[#6:2]-[#6:3]-[#6:4]-[#8:5],['rule0678']
50,[#6:1]-[#8:2].[#6:3]=[#8:4].[#6:5]=[#8:6].[#8:7]>>[#6:1]-[#8:4]-[#6:3]-[#6:5]-[#8:6].[#8:2]-[#8:7],['rule0934']
51,([#6:1]=[#6:2]-[#6:3]=[#6:4]-[#6:5].[#8:6]-[#8:7])>>[#6:5]=[#6:4]-[#6:3]=[#6:2]-[#6:1]-[#8:6].[#8:7],['rule0442']
52,[#7:1].[#8:2]=[#6:3]-[#8:4]>>[#6:3]#[#7:1].[#8:2].[#8:4],['rule0242']
53,[#6:1]-[#6:2]=[#6:3].[#6:4]-[#8:5].[#6:6]=[#6:7]-[#6:8]-[#6:9]-[#8:10]>>[#6:1]=[#6:2]-[#6:3]-[#6:9]-[#6:8]=[#6:7]-[#6:6]-[#6:4].[#8:10].[#8:5],['rule1104']
54,[#7:1]-[#6:2]-[#6:3]-[#7:4].[#8:5]>>[#6:2]-[#6:3]=[#8:5].[#7:1].[#7:4],['rule1038']
55,[#6:1]1=[#6:2]-[#7:3]-[#6:4]=[#6:5]-[#6:6]-1.[#6:7]=[#7+:8]>>[#6:7]-[#7+0:8].[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7+:3]:[#6:2]:1,['rule0331']
56,[#6:1]-[#6:2]-[#16:3].[#6:4]=[#8:5].[#8:6].[#8:7]-[#15:8]>>[#16:3].[#8:6]-[#15:8].[#8:5]-[#6:4]-[#6:1]-[#6:2]-[#8:7],['rule1048']
57,[#6:1]-[#7+:2].[#8:3].[#8:4]=[#8:5]>>[#6:1]=[#8:3].[#7+0:2].[#8:4]-[#8:5],['rule1084']
58,[#6:1]1:[#6:2]:[#6:3]:[#7:4]:[#6:5]:[#6:6]:1.[#6:7]1=[#6:8]-[#7:9]-[#6:10]=[#6:11]-[#6:12]-1.[#8:13]=[#8:14]>>[#6:11]1:[#6:12]:[#6:7]:[#6:8]:[#7+:9]:[#6:10]:1.[#8:13]=[#6:3]-[#7:4]-[#6:5]=[#6:6]-[#6:1]-[#6:2]=[#8:14],['rule0687']
59,[#6:1]-[#7:2].[#8:3].[#8:4]-[#15:5]>>([#7:2].[#6:1]-[#8:4]).[#8:3]-[#15:5],['rule0345']
60,([#8:1].[#6:2]-[#8:3])>>([#6:2].[#8:1]-[#8:3]),['rule0589']
61,[#6:1]-[#6:2](-[#8:3])-[#6:4]-[#8:5].[#7:6]>>[#7:6]-[#6:4]-[#6:2]-[#6:1]-[#8:3].[#8:5],['rule1025']
62,[#6:1]-[#7:2].[#6:3]=[#8:4]>>[#6:3]-[#7:2].[#6:1]=[#8:4],"['rule0030', 'rule0031', 'rule0065']"
63,([#16:1].[#16:2]).[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#16:1]-[#16:2].[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1,['rule0203']
64,[#16:1].[#16:2].[#16:3]-[#16:4]>>[#16:3].[#16:4].[#16:1]-[#16:2],['rule0272']
65,[#6:1]-[#7+:2].[#7:3]>>[#6:1]-[#7+:3].[#7+0:2],['rule0516']
