id,smarts,ni_ids
74,[#6:1].[#6:2]1:[#6:3]:[#6:4]:[#6:5]:[#7+:6]:[#6:7]:1.[#8:8]>>[#6:2]1=[#6:7]-[#7+0:6]-[#6:5]=[#6:4]-[#6:3]-1.[#6:1]=[#8:8],['rule0581']
75,[#16:1].[#8:2]=[#8:3]>>[#8:2]=[#16:1]-[#8:3],['rule0401']
76,[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#7+:5]:[#6:6]:1.[#6:7]=[#6:8]-[#6:9]-[#8:10].[#8:11]>>[#6:1]1=[#6:6]-[#7+0:5]-[#6:4]=[#6:3]-[#6:2]-1.[#6:9]=[#6:8]-[#6:7].[#8:10]=[#8:11],['rule0528']
77,[#6:1]-[#16:2]=[#8:3].[#8:4]>>[#6:1]-[#8:4].[#8:3]-[#16:2],['rule0741']
78,[#16:1].[#6:2]=[#8:3]>>[#8:3]-[#6:2]-[#16:1],['rule0436']
79,[#6:1]-[#16+:2].[#6:3]-[#16+:4].[#7:5]>>[#16+0:2].[#16+0:4].[#6:1]-[#7:5]-[#6:3],['rule0228']
80,([#6:1]=[#6:2]-[#6:3]-[#8:4].[#6:5]-[#6:6]=[#6:7])>>[#6:3]=[#6:2]-[#6:1]-[#6:7]-[#6:6]=[#6:5].[#8:4],['rule0955']
81,([#6:1].[#6:2]-[#8:3]).[#6:4]=[#8:5]>>[#6:1]-[#6:4]-[#8:5]-[#6:2].[#8:3],['rule1196']
82,([#6:1]-[#8:2].[#6:3]=[#8:4])>>([#6:1]=[#8:2].[#6:3]-[#8:4]),['rule0250']
83,([#6:1]-[#6:2](-[#6:3])-[#6:4]-[#6:5].[#6:6]-[#6:7]-[#6:8]=[#6:9]).[#8:10]>>([#6:1]-[#6:3].[#6:5]=[#6:4]-[#6:2].[#6:7]=[#6:8]-[#6:9].[#6:6]-[#8:10]),['rule0765']
84,[#6:1]-[#8:2].[#8:3]-[#6:4]1-[#6:5]-[#7:6]=[#6:7]-[#7:8]=[#6:9]-1>>[#6:1].[#6:4]1:[#6:5]:[#7:6]:[#6:7]:[#7:8]:[#6:9]:1.[#8:2]=[#8:3],['rule0362']
85,[#6:1]-[#7:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1.[#6:1]=[#7+:2],['rule0235']
86,[#6:1]-[#7:2].[#8:3]>>[#6:1]=[#8:3].[#7:2],['rule0101']
87,[#6:1]=[#8:2].[#8:3].[#8:4]=[#6:5]1-[#6:6]=[#6:7]-[#6:8]=[#7:9]-1>>[#8:2]-[#6:1]-[#6:5]1:[#6:6]:[#6:7]:[#6:8]:[#7:9]:1.[#8:3]=[#8:4],['rule0888']
88,[#6:1]=[#6:2].[#8:3]-[#16:4]>>[#6:1]-[#6:2]-[#16:4]=[#8:3],"['rule0281', 'rule0748']"
89,[#8:1]-[#6:2]-[#6:3]-[#7:4]-[#8:5]>>[#6:3]=[#7:4].[#6:2]=[#8:1].[#8:5],['rule0222']
90,[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#7+:5]:[#6:6]:1.[#6:7]=[#6:8]-[#6:9]-[#6:10]-[#8:11]>>[#6:7]-[#6:8]=[#6:9]-[#6:10]=[#8:11].[#6:1]1=[#6:6]-[#7+0:5]-[#6:4]=[#6:3]-[#6:2]-1,['rule0679']
91,[#6:1]1=[#6:2]-[#7:3]-[#6:4]=[#6:5]-[#6:6]-1.[#6:7]=[#6:8]>>[#6:7]-[#6:8].[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7+:3]:[#6:2]:1,['rule0027']
92,[#6:1]=[#6:2](-[#8:3])-[#6:4](-[#6:5]-[#6:6]=[#6:7]-[#6:8])-[#6:9]1-[#6:10]-[#6:11]-[#6:12]-[#6:13]-[#6:14]-1-[#6:15]>>([#6:1]-[#6:2](=[#8:3])-[#6:4]=[#6:9]-[#6:8](-[#6:15])-[#6:7]-[#6:6]-[#6:5].[#6:10]=[#6:11]-[#6:12]=[#6:13]-[#6:14]),['rule0928']
93,([#6:1]=[#6:2].[#6:3]-[#6:4]=[#6:5]-[#6:6]-[#8:7])>>[#6:3]=[#6:4]-[#6:5]1-[#6:1]-[#6:2]-[#6:6]-1.[#8:7],['rule0364']
94,[#6:1]-[#6:2]-[#6:3]=[#6:4]-[#6:5]-[#6:6]-[#6:7]=[#6:8]-[#6:9].[#8:10].[#8:11]>>[#6:1].[#6:5]=[#6:4]-[#6:3]-[#6:2]-[#8:10].[#6:9]=[#6:8]-[#6:7]-[#6:6]-[#8:11],['rule1114']
95,[#6:1]-[#6:2].[#8:3]=[#6:4]1-[#6:5]=[#6:6]-[#6:7](=[#8:8])-[#6:9]=[#6:10]-1>>[#6:1]=[#6:2].[#8:3]-[#6:4]1:[#6:10]:[#6:9]:[#6:7](-[#8:8]):[#6:6]:[#6:5]:1,"['rule0420', 'rule1163']"
96,[#6:1]1=[#6:2]-[#7:3]-[#6:4]=[#6:5]-[#6:6]-1.[#6:7]=[#8:8]>>[#6:7]-[#8:8].[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7+:3]:[#6:2]:1,['rule0003']
97,[#6:1]-[#6:2]-[#6:3]1-[#6:4]2-[#6:5]-[#6:6]-1-[#6:7](=[#6:8])-[#6:9]-[#6:10]-2.[#8:11]>>([#6:1]=[#6:2].[#6:5]=[#6:6]-[#6:3]-[#6:4]-[#6:7](-[#6:8])=[#6:9]-[#6:10]-[#8:11]),['rule0673']
98,([#6:1].[#6:2]-[#6:3]-[#8:4]).[#8:5]=[#8:6]>>([#6:1]-[#8:5].[#6:2]-[#8:6]).[#6:3]=[#8:4],['rule0446']
99,[#16:1].[#6:2]-[#6:3].[#6:4]=[#8:5]>>[#6:2]-[#16:1].[#6:3]-[#6:4]-[#8:5],"['rule0115', 'rule1117']"
100,[#16:1].[#6:2]-[#7+:3]>>[#6:2]-[#16+:1].[#7+0:3],['rule0120']
101,[#17:1].[#6:2]=[#8:3]>>[#8:3]-[#6:2]-[#17:1],['rule0912']
102,[#6:1]-[#8:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1.[#6:1]=[#8:2],['rule0002']
103,[#6:1]-[#6:2]-[#6:3](-[#6:4]-[#6:5])=[#6:6]-[#6:7]=[#6:8].[#8:9]>>([#6:1]=[#6:2].[#6:4]=[#6:5].[#6:8]-[#6:7]=[#6:6]-[#6:3]-[#8:9]),['rule0601']
104,[#6:1]-[#6:2]=[#6:3]-[#8:4].[#6:5]1:[#6:6]:[#6:7]:[#6:8]:[#7:9]:[#6:10]-1>>[#6:5]1:[#6:10]-[#7:9]-[#6:8]:[#6:7]-[#6:6]-1.[#6:1]=[#6:2]-[#6:3]=[#8:4],['rule0945']
105,([#16:1].[#6:2]-[#7:3].[#6:4]-[#8:5]).[#6:6]=[#7:7]>>([#6:4]-[#7:3].[#6:2]-[#8:5].[#7:7]-[#6:6]-[#16:1]),['rule0991']
106,[#6:1]-[#6:2]=[#8:3]>>[#6:1]=[#6:2]-[#8:3],['rule0153']
107,[#6:1]-[#7:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1.[#8:9]>>[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1.[#6:1]=[#8:9].[#7:2],"['rule0157', 'rule0167']"
108,[#6:1]1=[#6:2]-[#7:3]-[#6:4]=[#6:5]-[#6:6]-1.[#6:7]:[#6:8]-[#7+:9].[#8:10]=[#8:11]>>[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7+:3]:[#6:2]:1.[#7+0:9].[#8:10]-[#6:7]:[#6:8]-[#8:11],['rule0178']
109,[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#7+:5]:[#6:6]:1.[#6:7]1:[#6:8]:[#6:9]:[#6:10]:[#8:11]:[#6:12]:1.[#8:13].[#8:14]>>[#6:8]1-[#6:7]:[#6:12]-[#8:11]-[#6:10]-[#6:9]-1.[#6:1]1=[#6:6]-[#7+0:5]-[#6:4]=[#6:3]-[#6:2]-1.[#8:13]=[#8:14],['rule0957']
110,[#6:1]-[#8:2].[Se:3]>>[#6:1]-[Se:3].[#8:2],['rule1138']
111,[#6:1]=[#6:2]-[#8:3].[#6:4]=[#8:5].[#8:6]>>[#8:3].[#8:6]=[#6:2]-[#6:1]-[#6:4]-[#8:5],['rule1056']
