id,smarts,sources,hash
EVODEX.2-Dm244,[#6:2]-[#16:1]-[#6:30](=[#8:32])-[#6:33]>>[#6:2]-[#16:1]-[#1].[#6]-[#7](-[#6:30](=[#8:32])-[#6:33])-[#1],"EVODEX.2-P1269,EVODEX.2-P1271,EVODEX.2-P1319,EVODEX.2-P1572,EVODEX.2-P1822,EVODEX.2-P1856,EVODEX.2-P2237,EVODEX.2-P308,EVODEX.2-P3319,EVODEX.2-P344,EVODEX.2-P3512,EVODEX.2-P4096,EVODEX.2-P4106,EVODEX.2-P425,EVODEX.2-P703",5169654836708686748494403513901515699047596529133706268513333064272036094580
EVODEX.2-Dm264,[#6:3]-[#6:1](-[#8]-[#6])(-[#6:4])-[#1:130].[#8:2](-[#1])-[#1]>>[#6:3]-[#6:1](-[#8:2]-[#1])(-[#6:4])-[#1:130],"EVODEX.2-P1110,EVODEX.2-P1882,EVODEX.2-P2083,EVODEX.2-P2443,EVODEX.2-P2513,EVODEX.2-P2827,EVODEX.2-P2948,EVODEX.2-P3054,EVODEX.2-P3125,EVODEX.2-P3397,EVODEX.2-P3435,EVODEX.2-P350,EVODEX.2-P3913,EVODEX.2-P3986,EVODEX.2-P4305",57645005133008282522413142355225438952596157045056928917896271924777806155125
EVODEX.2-Dm295,[#8:50]=[#6:1](-[#8:61]-[#1])-[#6:51]>>[#6]-[#16]-[#6:1](=[#8:50])-[#6:51].[#8]-[#15](=[#8])(-[#8:61]-[#1])-[#8],"EVODEX.2-P1381,EVODEX.2-P1388,EVODEX.2-P1690,EVODEX.2-P2017,EVODEX.2-P2234,EVODEX.2-P2395,EVODEX.2-P2479,EVODEX.2-P2796,EVODEX.2-P3122,EVODEX.2-P3664,EVODEX.2-P3665,EVODEX.2-P4081,EVODEX.2-P410,EVODEX.2-P505,EVODEX.2-P683",324344662840325545894785544116812438479276255504224115784784987406445391093
EVODEX.2-Dm350,[#6:31]-[#6:1](=[#8:32])-[#8]-[#1].[#8]-[#15](=[#8])(-[#8])-[#8:34]-[#15:35]=[#8:36]>>[#6]-[#16]-[#6:1](=[#8:32])-[#6:31].[#8:36]=[#15:35]-[#8:34]-[#1],"EVODEX.2-P1014,EVODEX.2-P1131,EVODEX.2-P1347,EVODEX.2-P1387,EVODEX.2-P1438,EVODEX.2-P1471,EVODEX.2-P1807,EVODEX.2-P2140,EVODEX.2-P2748,EVODEX.2-P3116,EVODEX.2-P3120,EVODEX.2-P4037,EVODEX.2-P4080,EVODEX.2-P504,EVODEX.2-P773",31074996501992604227318348118029543901855841803948975395312032188574964243723
EVODEX.2-Dm484,[#6:3]-[#6:1](-[#8:128]-[#1])(-[#1:176])-[#1:177]>>[#6:3]-[#6:1](-[#8]-[#6])(-[#1:176])-[#1:177].[#8]-[#15](=[#8])(-[#8:128]-[#1])-[#8],"EVODEX.2-P1344,EVODEX.2-P1467,EVODEX.2-P1746,EVODEX.2-P2134,EVODEX.2-P2458,EVODEX.2-P2634,EVODEX.2-P2830,EVODEX.2-P3448,EVODEX.2-P3543,EVODEX.2-P3669,EVODEX.2-P3918,EVODEX.2-P3925,EVODEX.2-P4071,EVODEX.2-P807,EVODEX.2-P837",31594350586490712640913802195183219763002770511180249685825925350461316075271
EVODEX.2-Dm284,[#6]-[#16]-[#6:30](=[#8:32])-[#6:33].[#15:42](=[#8:44])-[#8:40]-[#1]>>[#6:33]-[#6:30](=[#8:32])-[#8]-[#1].[#15:42](=[#8:44])-[#8:40]-[#15](=[#8])(-[#8])-[#8],"EVODEX.2-P1295,EVODEX.2-P1555,EVODEX.2-P1568,EVODEX.2-P2143,EVODEX.2-P2499,EVODEX.2-P2507,EVODEX.2-P2893,EVODEX.2-P2937,EVODEX.2-P3780,EVODEX.2-P3824,EVODEX.2-P384,EVODEX.2-P3896",21707528116519578422173874143845794994250368296988933527925664750294336676220
EVODEX.2-Dm424,[#8:28](-[#1])-[#1].[#8:30]-[#15:29](=[#8:31])(-[#8:32])-[#8]-[#15]=[#8]>>[#8:30]-[#15:29](=[#8:31])(-[#8:28]-[#1])-[#8:32],"EVODEX.2-P1399,EVODEX.2-P1797,EVODEX.2-P1961,EVODEX.2-P2054,EVODEX.2-P2062,EVODEX.2-P2434,EVODEX.2-P2588,EVODEX.2-P2698,EVODEX.2-P2969,EVODEX.2-P3693,EVODEX.2-P4069,EVODEX.2-P677",71243416853847366905926458233139399745264501944168737714528004217866003214927
EVODEX.2-Dm328,[#6:31]-[#6:1](=[#8:32])-[#8:45]-[#1].[#8:47]-[#15:46](=[#8:48])(-[#8:49])-[#8]-[#15]=[#8]>>[#6]-[#16]-[#6:1](=[#8:32])-[#6:31].[#8:47]-[#15:46](=[#8:48])(-[#8:45]-[#1])-[#8:49],"EVODEX.2-P1468,EVODEX.2-P1723,EVODEX.2-P1950,EVODEX.2-P2337,EVODEX.2-P2749,EVODEX.2-P2777,EVODEX.2-P3279,EVODEX.2-P3315,EVODEX.2-P3760,EVODEX.2-P3949,EVODEX.2-P466",40346362925832453186193097424267639066383797498546158486095123936660417957034
EVODEX.2-Dm10,[#6:50]-[#6:1](=[#8:51])-[#6](-[#6]=[#8])(-[#1])-[#1]>>[#6:50]-[#6:1](=[#8:51])-[#16]-[#6],"EVODEX.2-P10,EVODEX.2-P1094,EVODEX.2-P1276,EVODEX.2-P1279,EVODEX.2-P222,EVODEX.2-P2765,EVODEX.2-P2879,EVODEX.2-P3006,EVODEX.2-P679,EVODEX.2-P80",74999628620168421237786997335621083603103286679642881044315962218930338112907
EVODEX.2-Dm16,[#6:3]-[#6:1](=[#8:4])-[#8:40]-[#1]>>[#6:3]-[#6:1](=[#8:4])-[#8]-[#6].[#8]-[#15](=[#8])(-[#8:40]-[#1])-[#8],"EVODEX.2-P16,EVODEX.2-P1609,EVODEX.2-P1779,EVODEX.2-P1840,EVODEX.2-P1907,EVODEX.2-P2322,EVODEX.2-P3516,EVODEX.2-P3549,EVODEX.2-P382,EVODEX.2-P514",35277760289697629144170381737830565211384630244537008814008069195466522947553
